EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
104,49,7,Yes,56.11,40,Salary,116708.8,33,Healthcare,Male,Divorced,1.0,22.0,Mail Check,Yes
106,59,13,Yes,80.12,40,Salary,166649.6,56,Human Resources,Male,Married,9.0,6.0,Mail Check,Yes
107,34,4,No,25.71,40,Salary,53476.8,32,Marketing,Male,Single,3.0,17.0,Direct Deposit,Yes
108,34,1,No,25.71,40,Salary,53476.8,32,Marketing,Male,Single,5.0,5.0,Direct Deposit,Yes
109,41,6,Yes,97.05,40,Salary,202864.0,22,Research,Female,Divorced,3.0,23.0,Mail Check,Yes
110,42,3,No,97.05,40,Salary,202864.0,22,Research,Female,Divorced,5.0,6.0,Mail Check,Yes
111,33,4,Yes,25.17,40,Salary,52353.6,51,Information Technology,Male,Single,6.0,14.0,Direct Deposit,Yes
112,35,7,Yes,25.17,40,Salary,52353.6,51,Information Technology,Male,Single,6.0,25.0,Direct Deposit,Yes
113,39,8,Yes,81.64,40,Salary,169811.2,60,Marketing,Male,Divorced,2.0,17.0,Mail Check,Yes
114,58,7,No,81.64,40,Salary,169811.2,60,Marketing,Male,Divorced,2.0,12.0,Mail Check,Yes
116,60,10,No,40.53,40,Salary,84302.4,58,Sales,Female,Married,9.0,8.0,Mail Check,Yes
119,37,3,No,65.52,40,Salary,136281.6,36,Healthcare,Female,Married,2.0,11.0,Mail Check,Yes
120,48,19,Yes,65.52,40,Salary,136281.6,36,Healthcare,Female,Married,7.0,23.0,Mail Check,Yes
121,33,3,Yes,28.09,40,Salary,58427.2,34,Sales,Female,Single,1.0,13.0,Mail Check,Yes
122,34,1,Yes,28.09,40,Salary,58427.2,34,Sales,Female,Single,4.0,22.0,Mail Check,Yes
123,35,6,Yes,26.84,40,Salary,55827.2,60,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes
124,38,3,No,26.84,40,Salary,55827.2,60,Sales,Male,Divorced,2.0,25.0,Mail Check,Yes
126,48,13,Yes,34.87,40,Salary,72529.6,1,Research,Female,Single,4.0,13.0,Mail Check,Yes
127,38,5,Yes,83.05,40,Salary,172744.0,37,Marketing,Female,Single,1.0,5.0,Mail Check,Yes
130,45,16,Yes,59.45,40,Salary,123656.0,42,Research,Female,Married,3.0,14.0,Mail Check,Yes
131,56,16,No,35.54,40,Salary,73923.2,16,Healthcare,Male,Married,7.0,8.0,Mail Check,Yes
132,56,18,No,35.54,40,Salary,73923.2,16,Healthcare,Male,Married,3.0,24.0,Mail Check,Yes
134,44,10,Yes,43.0,40,Salary,89440.0,26,Sales,Female,Divorced,6.0,18.0,Direct Deposit,Yes
137,34,1,No,26.06,40,Salary,54204.8,35,Laboratory,Female,Married,5.0,8.0,Direct Deposit,Yes
140,60,11,No,60.01,40,Salary,124820.8,34,Healthcare,Female,Married,2.0,15.0,Mail Check,Yes
142,54,11,Yes,50.74,40,Salary,105539.2,74,Manufacturing,Female,Married,9.0,15.0,Mail Check,Yes
143,39,8,No,53.28,40,Salary,110614.4,62,Manufacturing,Male,Divorced,4.0,7.0,Mail Check,Yes
144,54,10,No,53.28,40,Salary,110614.4,62,Manufacturing,Male,Divorced,1.0,24.0,Mail Check,Yes
149,33,7,Yes,31.1,40,Salary,64688.0,84,Human Resources,Female,Single,1.0,21.0,Mail Check,Yes
152,35,9,Yes,23.37,40,Salary,48609.6,60,Information Technology,Male,Divorced,5.0,25.0,Mail Check,Yes
153,50,7,No,60.42,40,Salary,125673.6,44,Information Technology,Male,Divorced,1.0,12.0,Direct Deposit,Yes
154,55,19,No,60.42,40,Salary,125673.6,44,Information Technology,Male,Divorced,8.0,24.0,Direct Deposit,Yes
155,36,2,Yes,28.04,40,Salary,58323.2,61,Manufacturing,Male,Married,2.0,8.0,Mail Check,Yes
156,38,7,Yes,28.04,40,Salary,58323.2,61,Manufacturing,Male,Married,6.0,10.0,Mail Check,Yes
158,55,14,No,59.17,40,Salary,123073.6,87,Sales,Female,Married,8.0,21.0,Mail Check,Yes
161,30,2,Yes,25.57,40,Salary,53285.6,79,Healthcare,Male,Married,3.0,23.0,Mail Check,Yes
163,34,5,Yes,28.09,40,Salary,58427.2,15,Sales,Male,Single,5.0,23.0,Mail Check,Yes
164,36,5,No,28.09,40,Salary,58427.2,15,Sales,Male,Single,2.0,12.0,Mail Check,Yes
165,48,11,Yes,33.29,40,Salary,69243.2,46,Research,Male,Single,3.0,17.0,Mail Check,Yes
166,61,11,No,33.29,40,Salary,69243.2,46,Research,Male,Single,8.0,21.0,Mail Check,Yes
170,58,10,No,45.29,40,Salary,94203.2,33,Healthcare,Male,Single,4.0,24.0,Mail Check,Yes
172,55,15,No,96.17,40,Salary,200033.6,52,Laboratory,Male,Single,4.0,21.0,Direct Deposit,Yes
173,48,5,No,76.51,40,Salary,159140.8,73,Information Technology,Female,Single,8.0,22.0,Mail Check,Yes
175,37,4,No,57.15,40,Salary,128872.0,42,Information Technology,Female,Divorced,6.0,23.0,Mail Check,Yes
176,42,3,Yes,57.15,40,Salary,128872.0,42,Information Technology,Female,Divorced,3.0,10.0,Mail Check,Yes
177,55,16,No,64.59,40,Salary,134347.2,50,Manufacturing,Male,Divorced,8.0,5.0,Mail Check,Yes
178,56,17,Yes,64.59,40,Salary,134347.2,50,Manufacturing,Male,Divorced,5.0,20.0,Mail Check,Yes
179,26,3,Yes,22.38,40,Salary,46550.4,53,Laboratory,Male,Single,2.0,7.0,Direct Deposit,Yes
181,38,6,No,44.26,40,Salary,92060.8,85,Human Resources,Female,Married,1.0,18.0,Mail Check,Yes
182,60,14,No,44.26,40,Salary,92060.8,85,Human Resources,Female,Married,4.0,22.0,Mail Check,Yes
183,43,3,No,71.87,40,Salary,149489.6,66,Marketing,Female,Married,8.0,19.0,Direct Deposit,Yes
184,55,8,Yes,71.87,40,Salary,149489.6,66,Marketing,Female,Married,1.0,7.0,Direct Deposit,Yes
186,48,20,No,64.88,40,Salary,134950.4,42,Human Resources,Female,Divorced,9.0,17.0,Mail Check,Yes
187,36,5,No,42.17,40,Salary,87713.6,80,Manufacturing,Female,Divorced,6.0,9.0,Mail Check,Yes
190,51,9,No,37.36,40,Salary,77708.8,55,Research,Male,Divorced,7.0,20.0,Direct Deposit,Yes
191,47,6,Yes,32.42,40,Salary,67433.6,66,Sales,Female,Married,5.0,21.0,Mail Check,Yes
192,59,17,Yes,32.42,40,Salary,67433.6,66,Sales,Female,Married,2.0,12.0,Mail Check,Yes
193,39,6,No,31.08,40,Salary,64646.4,50,Sales,Male,Married,5.0,25.0,Mail Check,Yes
194,39,7,No,31.08,40,Salary,64646.4,50,Sales,Male,Married,4.0,19.0,Mail Check,Yes
199,38,7,Yes,86.23,40,Salary,179358.4,53,Marketing,Female,Married,6.0,7.0,Direct Deposit,Yes
200,42,4,No,86.23,40,Salary,179358.4,53,Marketing,Female,Married,7.0,14.0,Direct Deposit,Yes
201,30,1,No,28.33,40,Salary,58635.2,70,Human Resources,Female,Single,3.0,12.0,Mail Check,Yes
202,61,19,No,40.71,40,Salary,84676.8,17,Sales,Female,Single,2.0,6.0,Mail Check,Yes
203,30,6,No,28.63,40,Salary,59550.4,58,Marketing,Female,Divorced,2.0,14.0,Mail Check,Yes
205,56,6,No,36.39,40,Salary,75691.2,64,Laboratory,Female,Married,1.0,15.0,Mail Check,Yes
212,42,5,No,49.49,40,Salary,102939.2,33,Research,Female,Single,5.0,13.0,Mail Check,No
213,44,14,No,59.65,40,Salary,124072.0,58,Marketing,Female,Divorced,4.0,19.0,Direct Deposit,Yes
215,48,20,No,64.27,40,Salary,133681.6,17,Sales,Female,Married,8.0,5.0,Mail Check,Yes
216,34,6,Yes,29.97,40,Salary,62337.6,89,Sales,Male,Married,4.0,20.0,Mail Check,Yes
218,28,4,Yes,25.45,40,Salary,52936.0,49,Laboratory,Female,Married,1.0,9.0,Mail Check,Yes
220,39,2,No,53.5,40,Salary,111280.0,81,Marketing,Female,Divorced,2.0,8.0,Mail Check,Yes
221,54,14,Yes,45.84,40,Salary,95347.2,86,Healthcare,Male,Single,4.0,11.0,Mail Check,No
225,36,9,No,31.01,40,Salary,64500.8,0,Manufacturing,Male,Divorced,4.0,5.0,Mail Check,Yes
228,31,8,Yes,22.79,40,Salary,47403.2,15,Healthcare,Male,Single,3.0,12.0,Mail Check,Yes
229,50,9,No,60.97,40,Salary,126817.6,48,Marketing,Female,Single,3.0,13.0,Mail Check,No
231,57,13,No,58.33,40,Salary,121035.2,17,Information Technology,Male,Single,4.0,16.0,Mail Check,No
235,39,1,No,48.11,40,Salary,100068.8,68,Research,Female,Divorced,3.0,16.0,Mail Check,Yes
236,37,1,Yes,80.48,40,Salary,167398.4,57,Research,Male,Single,2.0,22.0,Direct Deposit,No
239,45,20,Yes,82.26,40,Salary,171100.8,62,Manufacturing,Male,Single,1.0,9.0,Mail Check,No
243,45,13,Yes,42.02,40,Salary,87401.6,77,Healthcare,Male,Single,2.0,23.0,Direct Deposit,Yes
244,34,2,No,29.96,40,Salary,62316.8,50,Research,Male,Divorced,5.0,13.0,Mail Check,Yes
245,44,11,Yes,54.29,40,Salary,112923.2,10,Laboratory,Female,Single,7.0,11.0,Direct Deposit,No
246,56,20,Yes,49.41,40,Salary,102772.8,7,Laboratory,Male,Single,9.0,20.0,Mail Check,No
247,58,10,No,82.7,40,Salary,172016.0,20,Healthcare,Female,Single,7.0,8.0,Mail Check,No
248,39,7,Yes,44.69,40,Salary,92955.2,46,Sales,Male,Married,5.0,11.0,Mail Check,Yes
250,58,18,No,86.4,40,Salary,179712.0,38,Research,Female,Married,4.0,8.0,Mail Check,Yes
251,54,6,No,60.2,40,Salary,125216.0,53,Marketing,Male,Married,6.0,17.0,Mail Check,Yes
252,31,6,Yes,25.79,40,Salary,53643.2,21,Sales,Male,Married,2.0,8.0,Mail Check,No
254,36,1,Yes,33.84,40,Salary,70387.2,85,Manufacturing,Male,Married,3.0,7.0,Direct Deposit,Yes
256,36,5,No,26.09,40,Salary,54267.2,20,Research,Female,Single,5.0,23.0,Mail Check,Yes
258,53,13,Yes,50.59,40,Salary,105227.2,60,Healthcare,Female,Divorced,7.0,18.0,Mail Check,Yes
261,38,6,Yes,66.16,40,Salary,137612.8,70,Marketing,Male,Single,5.0,5.0,Direct Deposit,No
262,33,2,Yes,24.17,40,Salary,50273.6,80,Laboratory,Male,Divorced,2.0,16.0,Mail Check,Yes
264,40,3,No,59.72,40,Salary,124217.6,1,Healthcare,Female,Married,1.0,7.0,Mail Check,Yes
265,39,1,Yes,29.74,40,Salary,62859.2,64,Research,Male,Single,4.0,14.0,Mail Check,Yes
267,45,20,Yes,65.38,40,Salary,135990.4,20,Information Technology,Female,Married,3.0,22.0,Mail Check,Yes
269,41,5,No,34.8,40,Salary,72384.0,17,Marketing,Female,Divorced,3.0,18.0,Mail Check,Yes
271,24,1,No,17.39,40,Salary,36171.2,2,Manufacturing,Male,Single,1.0,16.0,Mail Check,Yes
274,60,13,No,43.28,40,Salary,89814.4,50,Manufacturing,Female,Single,2.0,12.0,Mail Check,Yes
275,43,8,Yes,80.75,40,Salary,167960.0,89,Research,Female,Single,6.0,12.0,Mail Check,No
276,44,14,No,33.29,40,Salary,40123.2,66,Sales,Male,Divorced,1.0,18.0,Direct Deposit,No
277,25,2,No,21.59,40,Salary,44907.2,87,Sales,Female,Married,2.0,8.0,Direct Deposit,Yes
278,27,6,Yes,21.26,40,Salary,44220.8,7,Research,Female,Single,2.0,20.0,Mail Check,Yes
279,37,1,Yes,26.0,40,Salary,54080.0,36,Research,Female,Single,4.0,21.0,Mail Check,Yes
280,47,5,No,75.05,40,Salary,156104.0,51,Sales,Female,Single,6.0,20.0,Mail Check,Yes
281,60,12,Yes,39.14,40,Salary,81411.2,66,Sales,Female,Divorced,8.0,8.0,Mail Check,Yes
282,58,8,No,34.45,40,Salary,71656.0,2,Laboratory,Female,Single,1.0,8.0,Mail Check,Yes
283,42,6,Yes,70.14,40,Salary,145891.2,53,Sales,Male,Divorced,9.0,18.0,Direct Deposit,Yes
284,35,8,Yes,23.32,40,Salary,48505.6,69,Manufacturing,Female,Single,2.0,14.0,Mail Check,Yes
287,43,3,No,47.45,40,Salary,98696.0,7,Human Resources,Female,Married,3.0,13.0,Direct Deposit,Yes
289,55,8,No,53.38,40,Salary,111030.4,67,Marketing,Male,Single,6.0,19.0,Mail Check,Yes
290,53,18,Yes,96.79,40,Salary,201323.2,74,Laboratory,Female,Married,4.0,24.0,Direct Deposit,Yes
296,47,5,No,96.24,40,Salary,200179.2,25,Laboratory,Female,Single,3.0,16.0,Mail Check,Yes
300,61,19,No,33.88,40,Salary,70470.4,85,Research,Male,Married,8.0,21.0,Mail Check,Yes
304,48,14,Yes,61.75,40,Salary,128440.0,54,Information Technology,Male,Married,3.0,13.0,Mail Check,Yes
305,53,12,No,97.96,40,Salary,203756.8,31,Sales,Female,Married,1.0,24.0,Direct Deposit,Yes
308,34,4,No,29.21,40,Salary,59396.8,4,Marketing,Female,Single,3.0,21.0,Mail Check,Yes
311,33,8,No,22.96,40,Salary,47756.8,37,Sales,Male,Single,3.0,9.0,Mail Check,Yes
313,57,5,No,57.51,40,Salary,133620.8,77,Manufacturing,Male,Married,4.0,8.0,Mail Check,Yes
315,54,17,Yes,43.63,40,Salary,90750.4,32,Healthcare,Male,Divorced,2.0,12.0,Mail Check,Yes
316,44,17,Yes,64.13,40,Salary,133390.4,61,Marketing,Female,Divorced,3.0,8.0,Direct Deposit,Yes
318,43,4,No,69.47,40,Salary,144497.6,41,Manufacturing,Female,Divorced,5.0,9.0,Mail Check,Yes
319,61,14,No,60.17,40,Salary,125153.6,10,Human Resources,Female,Single,1.0,7.0,Mail Check,Yes
320,46,7,Yes,34.23,40,Salary,71338.4,50,Marketing,Male,Single,4.0,13.0,Direct Deposit,Yes
321,45,18,Yes,33.17,40,Salary,68993.6,83,Research,Female,Single,4.0,16.0,Direct Deposit,Yes
324,53,5,No,77.9,40,Salary,162032.0,83,Marketing,Female,Single,7.0,7.0,Mail Check,Yes
325,56,9,Yes,67.64,40,Salary,140691.2,26,Marketing,Female,Married,9.0,21.0,Mail Check,Yes
326,47,8,No,67.65,40,Salary,140712.0,28,Research,Female,Divorced,1.0,18.0,Direct Deposit,Yes
327,37,4,Yes,76.33,40,Salary,158766.4,85,Marketing,Female,Divorced,6.0,23.0,Direct Deposit,Yes
328,53,6,No,63.36,40,Salary,131788.8,14,Sales,Female,Married,7.0,22.0,Mail Check,Yes
330,45,13,Yes,51.44,40,Salary,106995.2,84,Manufacturing,Male,Married,5.0,22.0,Mail Check,Yes
332,61,12,No,50.01,40,Salary,104020.8,22,Laboratory,Female,Single,6.0,22.0,Mail Check,Yes
336,53,5,No,44.7,40,Salary,92976.0,27,Research,Female,Single,2.0,23.0,Mail Check,Yes
337,46,15,No,45.01,40,Salary,93620.8,9,Research,Female,Divorced,6.0,20.0,Direct Deposit,Yes
341,45,11,Yes,55.88,40,Salary,116230.4,25,Healthcare,Male,Divorced,3.0,8.0,Mail Check,Yes
342,38,6,No,74.27,40,Salary,154481.6,73,Information Technology,Female,Single,3.0,20.0,Mail Check,Yes
344,38,9,No,51.8,40,Salary,107744.0,52,Research,Female,Single,6.0,10.0,Mail Check,No
350,49,14,No,34.28,40,Salary,71302.4,25,Information Technology,Female,Divorced,7.0,10.0,Mail Check,No
351,47,6,Yes,59.22,40,Salary,123177.6,89,Manufacturing,Male,Divorced,4.0,13.0,Mail Check,Yes
355,39,10,Yes,27.1,40,Salary,56368.0,10,Research,Female,Married,6.0,20.0,Mail Check,Yes
356,34,4,Yes,25.48,40,Salary,52998.4,5,Healthcare,Male,Single,1.0,15.0,Direct Deposit,Yes
359,52,19,No,83.21,40,Salary,173076.8,21,Manufacturing,Female,Married,3.0,11.0,Mail Check,Yes
360,44,17,No,62.04,40,Salary,129043.2,73,Research,Male,Divorced,8.0,25.0,Mail Check,Yes
361,58,10,No,68.02,40,Salary,141481.6,81,Sales,Female,Divorced,7.0,15.0,Mail Check,Yes
362,27,1,No,17.48,40,Salary,36358.4,53,Laboratory,Male,Divorced,1.0,23.0,Mail Check,Yes
365,41,5,No,45.88,40,Salary,95430.4,33,Research,Female,Married,9.0,18.0,Direct Deposit,Yes
366,47,11,No,56.56,40,Salary,117644.8,64,Marketing,Male,Married,6.0,16.0,Mail Check,Yes
368,58,13,Yes,32.08,40,Salary,66726.4,15,Human Resources,Female,Single,9.0,11.0,Mail Check,Yes
370,60,12,Yes,41.48,40,Salary,86278.4,35,Manufacturing,Female,Married,4.0,20.0,Mail Check,Yes
372,39,8,Yes,37.82,40,Salary,78665.6,25,Sales,Female,Married,3.0,12.0,Mail Check,Yes
373,46,18,Yes,51.02,40,Salary,106121.6,54,Manufacturing,Male,Single,2.0,10.0,Direct Deposit,No
374,50,11,Yes,41.88,40,Salary,87110.4,62,Research,Male,Married,8.0,17.0,Mail Check,Yes
375,44,9,Yes,44.37,40,Salary,92289.6,77,Research,Female,Single,4.0,7.0,Mail Check,No
376,34,7,Yes,23.24,40,Salary,48339.2,17,Marketing,Male,Married,2.0,24.0,Mail Check,Yes
377,32,3,Yes,27.09,40,Salary,56347.2,24,Human Resources,Male,Single,2.0,17.0,Mail Check,Yes
378,30,2,No,29.88,40,Salary,62150.4,33,Healthcare,Female,Single,1.0,16.0,Mail Check,Yes
379,51,17,No,44.95,40,Salary,93496.0,10,Manufacturing,Male,Divorced,8.0,5.0,Direct Deposit,Yes
381,51,13,Yes,85.86,40,Salary,178588.8,31,Manufacturing,Male,Married,2.0,25.0,Mail Check,Yes
384,58,17,Yes,76.24,40,Salary,158579.2,46,Marketing,Male,Single,3.0,17.0,Mail Check,Yes
387,58,12,No,58.2,40,Salary,121056.0,2,Information Technology,Female,Divorced,7.0,21.0,Mail Check,Yes
394,39,3,Yes,85.56,40,Salary,177964.8,25,Marketing,Male,Married,6.0,24.0,Direct Deposit,Yes
395,52,9,Yes,33.31,40,Salary,69284.8,49,Healthcare,Male,Single,7.0,21.0,Mail Check,Yes
397,30,5,No,29.45,40,Salary,61256.0,39,Human Resources,Male,Single,2.0,9.0,Mail Check,Yes
398,49,6,No,44.22,40,Salary,93377.6,51,Research,Female,Married,2.0,23.0,Mail Check,No
400,37,9,No,85.02,40,Salary,176841.6,44,Healthcare,Female,Divorced,5.0,20.0,Direct Deposit,No
401,49,8,No,51.4,40,Salary,106912.0,2,Manufacturing,Male,Married,7.0,7.0,Mail Check,Yes
404,56,20,No,46.13,40,Salary,95950.4,69,Laboratory,Male,Married,7.0,23.0,Mail Check,No
405,51,19,Yes,33.33,40,Salary,39915.2,87,Information Technology,Male,Divorced,2.0,15.0,Mail Check,No
406,53,18,No,58.0,40,Salary,120640.0,40,Manufacturing,Male,Single,1.0,14.0,Direct Deposit,Yes
407,57,9,Yes,38.34,40,Salary,79747.2,79,Human Resources,Female,Married,1.0,14.0,Mail Check,Yes
408,61,15,No,55.71,40,Salary,115876.8,58,Research,Male,Divorced,5.0,21.0,Mail Check,No
411,30,6,Yes,28.71,40,Salary,59716.8,77,Research,Male,Single,2.0,24.0,Mail Check,Yes
413,42,9,No,55.8,40,Salary,116064.0,12,Laboratory,Male,Divorced,3.0,17.0,Mail Check,Yes
414,23,1,Yes,21.65,40,Salary,45032.0,49,Healthcare,Female,Single,1.0,11.0,Mail Check,No
419,23,1,No,20.13,40,Salary,42870.4,60,Sales,Male,Single,3.0,6.0,Mail Check,Yes
420,56,12,No,32.12,40,Salary,66809.6,61,Sales,Male,Single,1.0,23.0,Mail Check,Yes
421,36,10,Yes,67.97,40,Salary,141377.6,37,Sales,Female,Divorced,4.0,20.0,Mail Check,Yes
423,36,8,No,59.68,40,Salary,124134.4,1,Laboratory,Male,Divorced,3.0,13.0,Mail Check,Yes
424,39,2,Yes,75.31,40,Salary,156644.8,75,Information Technology,Male,Married,4.0,20.0,Mail Check,Yes
425,23,1,Yes,21.87,40,Salary,45489.6,71,Healthcare,Female,Single,2.0,24.0,Mail Check,No
426,48,20,No,51.0,40,Salary,106080.0,30,Laboratory,Male,Divorced,5.0,25.0,Mail Check,Yes
427,38,4,Yes,58.45,40,Salary,121576.0,20,Manufacturing,Female,Married,6.0,6.0,Direct Deposit,Yes
428,38,3,Yes,27.25,40,Salary,56680.0,58,Research,Female,Divorced,5.0,6.0,Mail Check,Yes
438,61,16,No,76.45,40,Salary,159016.0,12,Information Technology,Male,Married,7.0,10.0,Mail Check,No
440,56,7,No,81.35,40,Salary,169208.0,82,Sales,Female,Single,7.0,20.0,Direct Deposit,No
441,33,6,Yes,28.68,40,Salary,38854.4,89,Information Technology,Female,Divorced,2.0,18.0,Mail Check,Yes
443,48,17,No,36.87,40,Salary,76689.6,76,Research,Male,Single,7.0,25.0,Direct Deposit,Yes
446,53,18,Yes,32.38,40,Salary,67350.4,3,Manufacturing,Female,Married,8.0,20.0,Mail Check,Yes
448,41,9,No,49.33,40,Salary,102606.4,83,Marketing,Female,Divorced,4.0,21.0,Mail Check,Yes
449,35,2,No,24.63,40,Salary,51230.4,20,Sales,Female,Married,4.0,7.0,Mail Check,Yes
456,39,1,Yes,53.53,40,Salary,111342.4,7,Laboratory,Female,Single,5.0,25.0,Mail Check,Yes
459,44,13,Yes,77.8,40,Salary,162824.0,2,Information Technology,Female,Married,5.0,5.0,Mail Check,Yes
460,38,9,Yes,31.98,40,Salary,66528.4,27,Information Technology,Female,Married,6.0,11.0,Mail Check,No
463,55,10,Yes,83.67,40,Salary,174033.6,69,Sales,Male,Married,7.0,15.0,Mail Check,Yes
465,46,10,Yes,50.08,40,Salary,104166.4,61,Sales,Female,Married,9.0,19.0,Mail Check,Yes
466,27,5,No,21.88,40,Salary,45510.4,20,Sales,Male,Married,2.0,25.0,Mail Check,No
